Affected Census Tract Number:,Affected Census Tract Name:,EHD Score,Environmental Exposures,Diesel Exhaust PM2.5 Emissions,Ozone Concentration,PM2.5 Concentration,Proximity to Heavy Traffic Roadways,Toxic Releases From Facilities (RSEI model),Environmental Effects,Lead Risk From Housing,Proximity to Hazardous Waste Treatment Storage and Disposal Facilities (TSDFS),Proximity to National Priorities List Facilities (Superfund sites),Proximity to Risk Management Plan (RMP) Facilities,Wastewater Discharge,Socioconomic Factors,ACS: Limited English Proficiency (LEP),No High School Diploma,People of Color (Race/Ethnicity),Population Living in Poverty <=185% of Federal Poverty Level (%),Transportation Expense,Unaffordable Housing (>30% of Income),Unemployed (%),Sensitive Populations,Death from Cardiovascular Disease,Low Birth Weight - Combined (%)
33030201,,9,8,9,4,8,6,8,5,5,7,7,4,,8,9,8,9,6,3,9,4,9,9,7
33030100,,9,9,9,4,8,8,9,5,6,6,7,4,,7,6,5,8,5,4,8,7,8,6,8
33030202,,10,9,9,4,7,9,9,5,4,8,7,5,,8,10,6,9,8,3,6,4,10,10,9
33030314,,9,9,9,4,7,9,7,5,3,9,6,6,,10,10,8,9,9,1,10,8,8,9,5
33030313,,10,9,9,4,8,10,6,5,1,9,6,7,,10,10,9,9,9,1,10,9,8,8,7
33030006,,10,9,9,4,7,10,7,6,4,9,7,5,7,10,10,10,10,9,1,10,6,10,10,10
33030005,,10,9,9,4,7,10,8,5,4,8,4,,,9,10,10,10,9,3,7,5,9,10,6
33030003,,10,10,9,4,7,10,9,6,3,5,10,5,2,9,10,8,9,4,3,8,8,8,9,6
33030401,,10,10,9,4,8,10,9,9,3,9,6,9,10,8,8,9,8,4,4,6,9,8,6,9
33030901,Algona,10,7,7,5,6,8,7,10,6,10,5,10,10,8,8,9,9,5,4,5,9,9,10,6
33030902,Pacific,9,9,7,7,7,8,8,8,5,10,5,10,4,8,7,9,8,8,3,10,1,8,7,7
33030801,Auburn,10,9,7,7,7,8,9,9,4,10,5,10,6,10,10,10,9,9,1,10,9,9,10,6
33030802,,9,6,6,7,5,6,6,8,6,10,5,9,4,9,10,9,8,8,3,7,5,9,10,7
33030700,,10,7,6,7,6,7,6,10,8,10,5,9,9,9,9,9,8,6,2,8,9,9,10,7
33031100,,9,8,6,7,6,7,8,7,4,8,5,8,4,8,8,7,8,6,3,8,7,8,8,7
33030600,,9,8,6,7,6,7,8,10,9,10,6,8,8,7,9,10,7,6,2,2,9,2,7,3
33030501,,9,8,7,7,6,8,6,9,6,10,6,8,9,9,8,9,8,9,1,10,6,5,9,2
33029902,,9,8,7,5,6,9,8,9,3,10,7,7,9,5,9,7,7,3,5,4,1,9,10,7
33029901,,9,9,9,4,7,10,8,9,4,9,8,6,8,6,8,6,8,4,4,2,7,7,8,5
33030503,,10,7,6,7,5,8,7,8,2,10,7,5,9,8,9,7,8,7,1,10,7,10,10,8
33029802,,9,10,9,4,7,10,10,9,5,9,9,5,8,7,9,7,9,6,4,4,5,5,9,2
33030004,,10,9,7,4,6,10,9,4,2,6,9,4,,10,10,9,10,9,1,10,9,9,10,7
33029601,Kent,9,6,6,7,5,4,9,4,2,7,6,5,,10,10,10,10,9,4,9,6,10,10,8
33039700,,10,9,8,6,6,8,10,10,7,9,9,8,8,10,10,8,8,9,2,10,10,7,6,7
33029801,,10,9,8,4,6,10,10,9,4,9,10,7,8,8,9,8,9,7,2,7,7,7,8,5
33029003,,10,9,8,4,7,10,9,8,5,7,10,6,4,10,10,10,10,9,2,10,7,7,9,4
33029004,,10,9,8,4,7,10,7,8,7,7,10,6,4,10,10,10,10,10,1,10,8,8,10,4
33029102,,10,9,8,4,7,10,8,9,7,9,10,8,5,5,9,9,9,4,3,2,1,10,9,9
33029503,,10,8,8,6,5,6,9,7,3,9,7,7,3,10,10,10,10,10,1,10,5,10,10,10
33029504,,10,7,8,6,5,5,9,5,2,8,7,6,,10,10,10,10,9,1,10,10,10,10,10
33029203,,10,8,8,6,5,8,8,10,7,10,10,10,10,8,9,9,10,8,1,9,1,9,7,9
33029206,,10,10,9,6,5,10,9,10,2,10,10,10,10,10,10,10,10,10,1,10,9,8,9,5
33029205,,9,9,8,5,5,9,9,10,1,10,10,10,10,8,10,8,10,6,1,8,4,5,8,3
33029101,,10,9,9,5,5,10,9,9,2,10,10,9,7,10,9,9,10,6,3,10,10,8,6,9
33029204,,10,9,8,6,5,8,10,10,3,10,9,10,10,9,10,8,10,8,2,8,6,9,7,9
33029407,,10,8,8,6,4,8,8,8,6,10,8,9,,10,10,10,10,9,2,10,9,8,10,5
33029408,,10,7,8,6,4,6,8,7,3,9,8,7,,9,10,9,10,9,2,10,4,10,10,9
33029403,,10,9,8,6,5,8,9,9,2,10,9,9,7,9,10,9,10,6,3,8,7,10,9,9
33029405,,9,7,8,6,5,5,9,6,2,8,8,8,,7,10,8,9,3,4,5,6,9,9,7
33029306,,9,8,8,7,5,6,8,9,2,9,9,8,8,5,10,8,9,2,4,3,2,8,5,10
33029303,,9,9,8,5,5,8,10,9,2,10,9,9,9,7,8,5,10,5,3,8,3,8,5,9
33029304,,10,8,8,7,5,6,9,7,3,7,8,8,2,7,9,6,9,3,4,7,5,10,10,10
33028902,Des Moines,10,9,8,4,6,10,9,9,4,9,10,7,5,10,10,10,10,10,1,9,8,7,9,4
33028901,,9,9,8,4,6,10,8,8,6,7,10,6,3,6,8,4,8,3,2,6,8,8,6,8
33028801,,9,9,8,4,6,10,9,9,8,9,10,7,4,7,9,10,9,3,3,9,2,8,10,4
33028802,SeaTac,10,9,9,4,6,10,9,9,4,10,10,8,5,10,10,10,10,10,1,10,4,8,8,6
33028300,,10,10,10,4,5,10,10,10,7,10,10,9,6,10,9,7,10,6,4,9,10,5,5,6
33028403,,9,9,9,4,5,10,9,10,7,10,9,9,5,7,10,7,10,6,1,6,5,4,6,4
33028402,,10,10,10,4,6,10,10,9,7,9,8,9,4,10,10,9,10,9,1,10,6,9,7,10
33028500,,9,7,7,4,6,7,9,7,6,9,7,6,,7,9,8,9,4,2,8,5,9,9,8
33025804,Renton,10,9,9,6,5,8,9,9,7,8,9,7,4,7,9,7,9,6,4,4,3,10,9,9
33025803,,9,8,9,6,5,6,8,9,6,9,9,8,3,8,9,8,10,8,2,9,2,8,10,4
33025805,,10,9,9,5,5,9,9,10,3,10,9,9,10,8,10,8,10,6,2,9,1,8,5,10
33025806,,10,9,9,5,5,9,9,10,5,10,10,10,10,6,10,6,10,4,3,4,3,9,7,10
33025701,,9,9,9,6,5,9,9,9,4,9,10,8,4,7,9,5,9,5,1,9,5,5,2,9
33025301,,9,9,9,4,5,9,10,8,6,8,10,6,4,7,9,7,8,4,1,9,5,7,3,10
33025400,,10,10,9,6,5,9,10,8,6,9,10,6,3,9,10,9,10,6,1,10,8,6,4,8
33025302,,10,9,9,4,5,9,10,10,6,10,10,8,10,8,8,6,9,9,1,10,5,6,3,9
33026002,,10,9,10,4,5,9,10,10,7,10,10,8,10,9,10,9,10,9,1,10,4,7,8,5
33026001,,9,9,9,4,6,9,10,10,9,9,10,7,10,7,10,7,10,2,4,5,5,4,7,3
33026100,,10,10,10,4,6,10,10,10,8,9,10,8,10,9,10,9,10,9,2,10,1,10,9,10
33026200,Tukwila,10,10,10,4,6,10,10,10,6,10,9,9,10,9,9,9,10,5,1,10,9,6,4,8
33028200,,10,10,10,4,5,10,10,10,7,9,8,9,8,9,10,9,10,9,1,8,5,8,6,9
33027200,,10,10,10,4,6,10,10,10,9,10,9,8,10,10,10,10,10,8,2,10,10,6,10,2
33027100,,10,10,10,3,8,9,10,10,8,10,10,8,10,9,10,10,10,8,1,10,1,9,6,10
